,Classifier,Data set,Accuracy,Explainer,Stability,Attribution Discrepancy,Top-10 Presence,Top-10 Similarity,Time
0,MLPClassifier,RTG,0.8133333333333334,['shap'][1.0]Ensemble=False,5013.386977028207,7215.305424449382,5,8.616666666666667,21.606384844000218
1,MLPClassifier,RTG,0.8133333333333334,['lime'][1.0]Ensemble=False,813.3421908668827,6141.5920643591735,3,11.833333333333332,11.801912049400835
2,MLPClassifier,RTG,0.8133333333333334,['shap'][1.0]Ensemble=False,5315.175045557356,7173.336325702119,5,8.727777777777778,66.31459682720012
3,MLPClassifier,RTG,0.8133333333333334,['lime'][1.0]Ensemble=False,889.5339874128093,6740.2167733737215,3,7.499999999999999,21.502182642000182
4,MLPClassifier,RTG,0.8133333333333334,['shap'][1.0]Ensemble=True,7623.3866176107695,7586.960914348952,1,9.0,135.97942665719782
5,MLPClassifier,RTG,0.8133333333333334,['lime'][1.0]Ensemble=True,1418.9012533669857,7178.891393747094,1,4.0,74.50836622839692
6,MLPClassifier,RTG,0.8133333333333334,['shap'][1.0]Ensemble=True,6805.858112169433,7240.11620053374,1,9.0,510.47146412460114
7,MLPClassifier,RTG,0.8133333333333334,['lime'][1.0]Ensemble=True,1403.5606415693792,7430.754677681177,2,2.5,149.61306983839404
8,MLPClassifier,RBF,1.0,['shap'][1.0]Ensemble=False,8544.077111061639,8394.330990979926,0,0.0,28.644447492414294
9,MLPClassifier,RBF,1.0,['lime'][1.0]Ensemble=False,1508.1649346460035,7647.677792421612,0,0.0,13.162838885202655
10,MLPClassifier,RBF,1.0,['shap'][1.0]Ensemble=False,7456.608453711733,7711.280692836164,0,0.0,101.70739232779597
11,MLPClassifier,RBF,1.0,['lime'][1.0]Ensemble=False,719.8307231487697,7341.686158719594,0,0.0,20.095489120605087
12,MLPClassifier,RBF,1.0,['shap'][1.0]Ensemble=True,7909.268761732147,8342.137821257127,2,2.3333333333333335,265.71180798639983
13,MLPClassifier,RBF,1.0,['lime'][1.0]Ensemble=True,290.17605510862086,5043.637891297313,4,5.333333333333333,77.6745527858111
14,MLPClassifier,RBF,1.0,['shap'][1.0]Ensemble=True,6546.483599836893,7446.684338322857,2,2.3333333333333335,1018.2907457206098
15,MLPClassifier,RBF,1.0,['lime'][1.0]Ensemble=True,356.87100090170617,5137.589979338843,0,0.0,155.58412684460816
16,MLPClassifier,Spambase,0.9266666666666666,['shap'][1.0]Ensemble=False,7283.819419030369,7968.645862451107,6,15.433333333333332,9.48094704845668
17,MLPClassifier,Spambase,0.9266666666666666,['lime'][1.0]Ensemble=False,1536.4138085631307,5739.144841952762,3,3.75,11.037688471980395
18,MLPClassifier,Spambase,0.9266666666666666,['shap'][1.0]Ensemble=False,6451.406518393559,7648.684334397057,6,18.466666666666665,26.454656481110256
19,MLPClassifier,Spambase,0.9266666666666666,['lime'][1.0]Ensemble=False,815.998762701176,5716.809923162929,3,3.6507936507936507,13.66038215578212
20,MLPClassifier,Spambase,0.9266666666666666,['shap'][1.0]Ensemble=True,6072.375614050219,7805.861020367521,2,1.9722222222222223,45.57894776046063
21,MLPClassifier,Spambase,0.9266666666666666,['lime'][1.0]Ensemble=True,1584.982259601531,5947.332553892234,3,4.5,61.79209300424151
22,MLPClassifier,Spambase,0.9266666666666666,['shap'][1.0]Ensemble=True,5622.4101005151615,7653.946876312462,2,1.6222222222222222,170.73099893955805
23,MLPClassifier,Spambase,0.9266666666666666,['lime'][1.0]Ensemble=True,1268.1406057807458,5758.433935740269,2,3.555555555555556,78.27775942511734
24,MLPClassifier,Credit default,0.7866666666666666,['shap'][1.0]Ensemble=False,4838.486539195859,7456.881798511679,5,8.892857142857142,7.737052205415239
25,MLPClassifier,Credit default,0.7866666666666666,['lime'][1.0]Ensemble=False,411.56528330074764,5457.67609342973,3,11.166666666666666,9.843246262584216
26,MLPClassifier,Credit default,0.7866666666666666,['shap'][1.0]Ensemble=False,3986.8108105275596,7016.565884945282,5,12.928571428571427,14.14013175601176
27,MLPClassifier,Credit default,0.7866666666666666,['lime'][1.0]Ensemble=False,475.98376618562736,5610.713108730745,5,10.750000000000002,10.97987159280674
28,MLPClassifier,Credit default,0.7866666666666666,['shap'][1.0]Ensemble=True,864.828326553998,5393.7400202001245,3,7.166666666666667,28.404730402990758
29,MLPClassifier,Credit default,0.7866666666666666,['lime'][1.0]Ensemble=True,0.0,5000.0,4,9.866666666666665,42.16114975579185
30,MLPClassifier,Credit default,0.7866666666666666,['shap'][1.0]Ensemble=True,1024.8285988373057,5413.836358151645,3,6.333333333333333,85.31936525097845
31,MLPClassifier,Credit default,0.7866666666666666,['lime'][1.0]Ensemble=True,0.0,5000.0,7,7.821428571428571,49.25489887699732
